ID,Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos_Involucrados,Heridos,Accidente _con,Heridos _SI/NO ,Muertes,Clase_Accidente
1,1/3/2024 0:00,A001602262,CALLE 14A CARRERA 34   BACHUE,BACHUE,2,2,HERIDOS,1,0,CHOQUE
2,1/6/2024 0:00,A001602263,CALLE 14 CARRERA  28   SAN JOSÉ,SAN JOSE,2,3,HERIDOS,1,0,CHOQUE
3,1/9/2024 0:00,A001602264,KILOMETRO 7+800 MTS,No registra,1,1,HERIDOS,1,0,CHOQUE
4,1/12/2024 0:00,A001602265,AVENIDA 23 N. 24 - 07   LA TIZA,LA TIZA,2,2,HERIDOS,1,0,CHOQUE
5,1/12/2024 0:00,A001602266,KILOMETRO 3+500 MTS VIA CHICHIMENE ESTACION ACACIAS,No registra,2,1,HERIDOS,1,0,CHOQUE
6,1/15/2024 0:00,A001602267,CALLE 13 N.22+48  -  COOPERATIVO,COOPERATIVO,1,1,HERIDOS,1,0,CHOQUE
7,1/17/2024 0:00,A001602268,CALLE 18 N 21-56 -  MANCERA,MANCERA,2,1,HERIDOS,1,0,CHOQUE
8,1/27/2024 0:00,A001602270,CALLE 10 N 23 -01  -  DORADO,DORADO,2,1,HERIDOS,1,0,CHOQUE
9,1/26/2021 0:00,A001602269,DIAGONAL 15 CARRERA 31 - VILLA DEL SOL  VEREDA,No registra,1,0,MUERTOS,0,1,CHOQUE
10,2/7/2024 0:00,A001602271,AVENIDA 23 CARRERA  27 -,No registra,2,1,HERIDOS,1,0,CHOQUE
11,2/12/2024 0:00,A001602273,CALLE 11 CARRERA 23  -  DORADO,DORADO,2,1,HERIDOS,1,0,CHOQUE
12,2/12/2024 0:00,A001602272,AVENIDA 23 N. 5A-93 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,1,HERIDOS,1,0,CHOQUE
13,2/14/2024 0:00,A001602274,CALLE 18 CARRERA 14 -  SAN CRISTOBAL LOMA DE TIGRE,SAN CRISTOBAL,2,3,HERIDOS,1,0,CHOQUE
14,2/15/2024 0:00,A001602275,KILOMETRO 1+200 MTS   -,No registra,2,1,HERIDOS,1,0,CHOQUE
15,2/15/2024 0:00,A001602276,CARRERA 23 N.17 -76  -  MANCERA,MANCERA,2,3,HERIDOS,1,0,CHOQUE
16,2/18/2024 0:00,A001602278,CALLE 18 N-4-01  -  POPULAR,POPULAR,2,1,HERIDOS,1,0,CHOQUE
17,2/18/2024 0:00,A001602277,CARRERA 23 N.16A-35  -  EL BOSQUE,EL BOSQUE,2,2,HERIDOS,1,0,CHOQUE
18,2/20/2024 0:00,A001602279,CALLE 12 CARRERA 26 -  DORADO,DORADO,2,1,HERIDOS,1,0,CHOQUE
19,2/21/2024 0:00,A001602280,CALLE 15 CARRERA 33 -,No registra,2,1,HERIDOS,1,0,CHOQUE
20,2/22/2024 0:00,A001602281,KILOMETRO 3 VIA ANTIGUA GUAMAL  -,No registra,1,0,MUERTOS,0,1,CHOQUE
21,2/24/2024 0:00,A001602282,CALLE 17 CARRERA 6 -  POPULAR,POPULAR,2,3,HERIDOS,1,NO APLICA,CHOQUE
22,2/27/2024 0:00,C-001587577,KILOMETRO 57+100 MTS VIA GRANADA -VILLAVICENCIO  -,No registra,2,0,MUERTOS,0,2,CHOQUE
23,3/3/2024 0:00,A0001602263,KILOMETRO KM 7 VIA ANTIGUA GUAMAL  -,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
24,3/5/2024 0:00,A0001602284,CALLE 15 CARRERA 47 -  COLINAS EL ROSARIO,COLINAS,2,1,HERIDOS,1,NO APLICA,CHOQUE
25,3/11/2024 0:00,A0001602285,CARRERA 33 CALLE  14A -  BACHUE,BACHUE,2,3,HERIDOS,1,NO APLICA,CHOQUE
26,3/23/2024 0:00,A001602286,CALLE 13 N 19-70  -,No registra,1,1,MUERTOS,0,1,ATROPELLO
27,3/29/2024 0:00,A0001651928,KILOMETRO 0+400 MTS VIA ANTIGUA GUAMAL  -,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
28,3/27/2024 0:00,A0001602287,AVENIDA 23 CARRERA 27A -  VILLA LUCIA,VILLA LUCIA,2,1,HERIDOS,1,NO APLICA,CHOQUE
29,3/30/2024 0:00,A0001651929,CALLE 18 N 9-50  -  POPULAR,POPULAR,1,1,HERIDOS,1,NO APLICA,ATROPELLO
30,4/10/2024 0:00,A0001651930,CALLE 14 CARRERA 41 -  COMCAJA RANCHO GRANDE,COMCAJA,2,2,HERIDOS,1,NO APLICA,CHOQUE
31,4/10/2024 0:00,A0001651931,KILOMETRO 1 VIA ACACIAS -VILLAVICENCIO  -  VILLA MANUELA,VILLA MANUELA,2,3,HERIDOS,1,NO APLICA,CHOQUE
32,4/11/2024 0:00,A001651932,CALLE 11 CRA 31 -  SAMAN BRISAS DEL GUAYURIBA,SAMAN,3,2,HERIDOS,1,NO APLICA,CHOQUE
33,4/11/2024 0:00,A001651933,CALLE 19 N.22A  -  SIN INFORMACIÓN DEL BARRIO RANCHO GRANDE,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
34,4/14/2024 0:00,A001651934,CARRERA 15 6A -77  -  MALECÓN TURISTICO,MALECÓN TURISTICO,2,3,HERIDOS,1,NO APLICA,CHOQUE
35,4/19/2024 0:00,A001651935,CALLE 20 CARRERA 49 -  COLINAS,COLINAS,2,1,HERIDOS,1,NO APLICA,CHOQUE
36,4/21/2024 0:00,A001651936,CALLE 13 CARRERA 18 -  CENTRO,CENTRO,2,3,HERIDOS,1,NO APLICA,CHOQUE
37,4/25/2024 0:00,A001651937,CALLE 14 CARRERA 12 -  JUAN MELLAO,JUAN MELLAO,2,1,HERIDOS,1,NO APLICA,CHOQUE
38,4/27/2024 0:00,A001651938,CALLE 12 CARRERA 25 -  DORADO BAJO,DORADO BAJO,2,1,HERIDOS,1,NO APLICA,CHOQUE
39,4/28/2024 0:00,A001651939,CARRERA 36 N. 9-82  -  INDEPENDENCIA,INDEPENDENCIA,1,2,HERIDOS,1,NO APLICA,ATROPELLO
40,4/29/2024 0:00,A001651940,CALLE 15 CARRERA 22 -  COOPERATIVO,COOPERATIVO,3,2,HERIDOS,1,NO APLICA,CHOQUE
41,5/6/2024 0:00,A001651941,CALLE 19 CARRERA 18A -  MANCERA,MANCERA,2,2,HERIDOS,1,NO APLICA,CHOQUE
42,5/7/2024 0:00,A001651942,CARRERA 31 CALLE  16C -  BACHUE,BACHUE,2,3,HERIDOS,1,NO APLICA,CHOQUE
43,5/11/2024 0:00,A001651943,CALLE 15 N.21-76  -  SIN INFORMACIÓN DEL BARRIO,No registra,1,1,HERIDOS,1,NO APLICA,ATROPELLO
44,5/22/2024 0:00,A001651944,DIAGONAL 15 CARRERA 30 -  ASOCIACIÓN DE AMIGOS,ASOCIACION DE AMIGOS ,2,1,HERIDOS,1,NO APLICA,CHOQUE
45,5/22/2024 0:00,A001651945,KILOMETRO 1 VIA VEREDA ESMERALDA  -,No registra,1,1,HERIDOS,1,NO APLICA,CHOQUE
46,5/26/2024 0:00,A001651946,DIAGONAL 15 CARRERA 41 - VILLA AURORA,No registra,2,3,HERIDOS,1,NO APLICA,CHOQUE
47,5/26/2024 0:00,A001651947,KILOMETRO 26 + 645  -  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,1,1,HERIDOS,1,NO APLICA,CHOQUE
48,5/27/2024 0:00,A001651948,KILOMETRO 19 VIA VAQUEROS CLUB -,No registra,3,0,MUERTOS,0,1,CHOQUE
49,6/1/2024 0:00,A001651949,KILOMETRO 2+200 MTS  VIA  ACACIAS  ANTIGUA GUAMAL -  VÍA ANTIGUA GUAMAL,VÍA ANTIGUA GUAMAL,2,1,HERIDOS,1,NO APLICA,CHOQUE
50,6/8/2024 0:00,A001651952,KILOMETRO 00+900 MTS VIA ANTIGUA  GUAMAL -,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
51,6/9/2024 0:00,A001651951,CALLE 13 CARRERA 21 -  COOPERATIVO,COOPERATIVO,2,2,HERIDOS,1,NO APLICA,CHOQUE
52,6/7/2024 0:00,A001651952,CARRERA 23 CALLE 5 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,2,HERIDOS,1,NO APLICA,CHOQUE
53,6/16/2024 0:00,A001651953,CALLE 14 CARRERA 45A -  CIMARRON,CIMARRON,1,0,MUERTOS,0,1,CHOQUE
54,6/19/2024 0:00,A001651954,KILOMETRO 26+500 MTS VIA VILLAVICENCIO  GRANADA -,No registra,2,0,MUERTOS,0,1,CHOQUE
55,6/20/2024 0:00,A001651955,CARRERA 23 +18-35   -  MANCERA ESMERALDA,MANCERA,2,1,HERIDOS,1,NO APLICA,CHOQUE
56,6/20/2024 0:00,A001651956,CALLE 14 CARRERA 26 -  SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
